imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count
tt30505698,Friendship,A suburban dad falls hard for his charismatic new neighbor.,2024,20241h 40m,6.6,41K
tt31723358,Tell Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair.",2024,20241h 54m,4.1,2.8K
tt8310486,Miller's Girl,A creative writing assignment yields complex results between a teacher and his talented student.,2024,20241h 33m,5.2,28K
tt1896747,Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins.",2024,20242h 12m,6.6,60K
tt21097228,A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare.",2024,20241h 52m,6.9,39K
tt23137390,Immaculate,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets.",2024,20241h 29m,5.8,62K
tt12610390,The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission.",2024,20241h 47m,5.5,59K
tt10720352,Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.,2024,20241h 47m,7.0,40K
tt15823456,Empire Waist,Follows a group of teens learning to love their bodies through inclusive fashion design and friendship.,2024,20241h 37m,6.3,775
tt12349832,Cuckoo,A 17-year-old is forced to move with her family to a resort where things are not what they seem.,2024,20241h 42m,5.6,36K
tt24807110,Don't Move,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down.",2024,20241h 32m,5.8,47K
tt32768323,The Assessment,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare.",2024,20241h 54m,6.6,25K
tt34365591,Mahavatar Narsimha,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.,2024,20242h 10m,8.5,48K
