imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count,genre_hint,cleaned_story
tt33353895,A Kidnapping in Amish Country,An Amish woman's daughter is kidnapped. She seeks help from her estranged friend who left the Amish community and found social media stardom.,2024,20241h 28m,5.8,204,,amish woman daughter kidnapped seeks help estranged friend left amish community found social media stardom
tt32647448,In Our Blood,"Filmmaker Emily Wyland reunites with estranged mother for documentary. When mother disappears, Emily and cinematographer Danny pursue clues to her whereabouts amidst traces of her past addictions.",2024,20241h 29m,5.5,524,,filmmaker emily wyland reunites estranged mother documentary mother disappears emily cinematographer danny pursue clues whereabouts amidst traces past addictions
tt22507374,Bogota: City of the Lost,"Young man moving to Colombia with his family for a better life, but he ends up living from hand to mouth. He later goes against all odds to dominate Bogota's black market.",2024,20241h 48m,5.4,2.5K,,young man moving colombia family better life ends living hand mouth later goes odds dominate bogota black market
tt30489753,Ladybug,A young artist is stalked at his remote cabin by a killer who murdered his supernatural guest.,2024,20241h 47m,4.6,189,,young artist stalked remote cabin killer murdered supernatural guest
tt11749154,Model House,Models staying in a secluded house for the night are terrorized by intruders.,2024,20241h 25m,4.0,1.2K,,models staying secluded house night terrorized intruders
tt31648020,The Last Dance,"A debt-ridden wedding planner inadvertently becomes a successful funeral planner, but he must convince a traditional Taoist priest of his legitimacy to continue operating in the field.",2024,20242h 6m,7.6,3.6K,,debt ridden wedding planner inadvertently becomes successful funeral planner must convince traditional taoist priest legitimacy continue operating field
tt29359373,Everybody Loves Touda,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son.",2024,20241h 42m,6.3,697,,touda sheikha traditional moroccan singer performing bars provincial town gaze men plans leave lights casablanca gain recognition ensure better future son
tt31173492,Spacewoman,"Explores achievements of Eileen Collins, the first woman to pilot and command a spacecraft, paving the way for the next generation of female space explorers.",2024,20241h 35m,7.2,123,,explores achievements eileen collins first woman pilot command spacecraft paving way next generation female space explorers
tt30223155,"Canadian, Sniper","While attempting to peacefully reintegrate into civilian life, an army sniper struggles to discern reality from the haunting uncertainty of P.T.S.D.",2024,20241h 23m,3.7,740,,attempting peacefully reintegrate civilian life army sniper struggles discern reality haunting uncertainty
tt3594464,Poison,A love story about a couple reunited years after tragedy drove them apart. Their brief and intense meeting brings simmering pain and resentment to the surface but is a reminder too of cherished intimacies and the love they once shared.,2024,20241h 26m,6.2,635,,love story couple reunited years tragedy drove apart brief intense meeting brings simmering pain resentment surface reminder cherished intimacies love shared
tt21390830,www.RachelOrmont.com,Psychedelic technosatire feature about growing up in captivity.,2024,20241h 20m,5.5,178,,psychedelic technosatire feature growing captivity
tt27476906,When the Light Breaks,"Una grapples with grief while harboring a secret, unable to fully express her emotions, as she navigates challenging events swirling around her.",2024,20241h 22m,6.6,1.8K,,una grapples grief harboring secret unable fully express emotions navigates challenging events swirling around
tt27192829,Cells at Work!,"Each and every body is a legion of cells, all performing their function to keep their owner operating.",2024,20241h 49m,6.7,1.6K,,every body legion cells performing function keep owner operating
tt20255354,The Present,"A brilliant boy discovers that he can manipulate time using a family heirloom. He soon teams up with his siblings in returning to the time of their parents' separation, with hopes of changing the outcome.",2024,20241h 26m,5.5,1.1K,,brilliant boy discovers manipulate time using family heirloom soon teams siblings returning time parents separation hopes changing outcome
tt31402962,Young Royals Forever,"Edvin Ryding and Omar Rudberg, among others, together with the main writer, creator and executive producer Lisa Ambjörn share the story of how Wilhelm and Simon's journey took shape, from the writing process and casting to the final scene.",2024,202453m,7.7,618,,edvin ryding omar rudberg among others together main writer creator executive producer lisa ambj share story wilhelm simon journey took shape writing process casting final scene
